batch_number,mc_no,date,shift,design,debossed,rm,mb_code,mc_speed,issued_by
2506405,CCM-07/08,16-09-2025,C,S-188-CSD-001,PLAIN,MB6561,PL53407100,1250,HELENA
2506404,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,MB6562,PE33407026,500,HELENA
2506403,CCM-10/09,16-09-2025,A,S-1881-CSD001,CAMPA,MB5569,PL43407114,500,JAVEED
2506402,CCM-17,16-09-2025,B,AB22CSD1,Coca Cola,MB5569,PL53407100,1700,P VINAY
2506401,CCM-05,16-09-2025,A,PC-1881,PLAIN,BD950M0,51202,450,HELENA
2506400,CCM-01,16-09-2025,A,S29W,KINLEY,ACP533H1,PL54407056,1700,MANISHA
2506399,CCM-16,16-09-2025,C,S27LW,CLEAR,MB6562,PE04407082,1450,JAVEED
2506398,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,MB6562,51202,500,HELENA
2506397,CCM07/08,16-09-2025,B,AB-1881-HF,PLAIN,ACP5331H,14069,1250,HELENA
2506396,CCM 02,16-09-2025,B,S2622CSD 30.37,PLAINE,MB6562,PE33407289,1450,HELENA
2506395,CCM-16,16-09-2025,B,S27LW,PLAIN,MB6562,7089,1450,HIMANSHU
2506394,CCM-17,16-09-2025,B,AB22CSD1,COCA COLA,M5005L,PW-70SCB,1700,HIMANSHU
2506393,ccm-16,16-09-2025,B,S27LW,PLAIN,MB5569,PE04407082,1700,HIMANSHU
2506392,CCM-12,16-09-2025,A,A-1881-CSD-006,PLAIN,M5005L,51196,1700,TOMBI
2506391,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,MB6562,PE04407082,500,RAMESHWORY
2506390,CCM-05,16-09-2025,A,PC-1881,PLAIN,BD950MO,23010,450,HELENA
2506389,CCM/09/10,16-09-2025,A,S-1881-CSD001,CAMPA,MB6562,PE63475109,500,RAMESHWORY
2506388,CCM-01,16-09-2025,C,S29W (NON NITRO ),KINLEY,MB6562,PE53407419,1700,RAMESHWORY
2506387,CCM-06,16-09-2025,B,TAVBKOO1/IC,PLAIN,ACP533H1,PE53407419,1700,JAVEED
2506386,CC-16,16-09-2025,B,S27LW,OXYCOOL,M5505L,51196,1700,HELENA
2506385,CC-14,16-09-2025,B,S-1881--CSD-004,COCA COLA,MB6562,51196,1700,TOMBI
2506384,CCM-07/08,16-09-2025,A,AB-1881-HF,PLAIN,MB6562,PE33407289,1400,TOMBI
2506383,CCM6,16-09-2025,B,TAVBKOO1/IC,PLAIN,ACP533H1,PL53407100,1200/500,HELENA
2506382,CCM-16,16-09-2025,A,S27LW,OXYCOOL,ACP533H1,AXM7166,500,MANISHA
2506381,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,MB6562,51215,500,HELENA
2506380,CCM-15,16-09-2025,A,S-1881-CSD-001 R-01,COCA COLA,MB6562,PE04407082,500,RAMESHWORY
2506379,CCM-05,16-09-2025,B,PC-1881,PLAIN,MB6562,PE04407082,1150,VINAY
2506378,CCM 12,16-09-2025,C,A-1881-CSD-006,PLAIN,BD950MO,PE94407025,500,RAMESHWORY
2506377,CCM-07/08,16-09-2025,A,AB-1881-HF,MAAZA,MB6562,51202,500,MANISHA
2506376,CCM-3,16-09-2025,C,AB26CSD12 30.41,CAMPA,ACP533H1,PE23407409,1250,DHANANJAY
2506375,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,MB6562,25030,500,MANISHA
2506374,CCM-04,16-09-2025,A,S2614CSD A 30.40,PLAIN,MB6562,25030,500,HELENA
2506373,CCM-15,16-09-2025,C,S-1881-CSD-001R-01,COCA-COLA,MB6562,PL53407100,1150,HELENA
2506372,CCM-16,16-09-2025,B,S27LW,OXY COOL,MB6562,PL53407100,1150,TOMBI
2506371,CCM-09/10,16-09-2025,A,S-1881-CSD001,CAMPA,M5005L,51196,1700,HELENA
2506370,CCM-17,16-09-2025,A,AB22CSD1,COCA COLA ,MB6562,PL53407100,1700,HELENA
2506369,CCM-15,16-09-2025,C,S-1881-CSD-01 RO1,COCACOLA,MB5569,PL53407100,1700,DHANANJAY
2506368,CCM-03,16-09-2025,B,AB26CSD12 30.41,CAMPA,MB6562,PE94407025,1250,HELENA
2506367,CCM-01,16-09-2025,B,S29W1,KINLEY,ACP5331H,PE53407419,1700,HELENA
2506366,CCM-12,16-09-2025,B,A-1881-CSD-006,PLAIN,ACP533H1,PE94407025,1700,HELENA
2506365,CCM-04,16-09-2025,B,S2614CSDA 3040,COCACOLA,MB6562,PE94407025,500,HELENA
2506361,CCM-17,16-09-2025,A,AB22CSD1,COCA COLA,MB5569,PE94407025,1250,HELENA
2506352,CCM-07/08,16-09-2025,A,AB-1881-HF,MINUTE MAID,MB5569,PE94407025,1700,HELENA
2506360,CCM-16,16-09-2025,A,S27LW,PLAIN,MB6561,PE04407082,1200/500,MONIKA
2506297,CCM-06,16-09-2025,C,PC-1881,PLAIN,BD950MO,PE33407289,1250,HELENA
2506359,CCM-09/10,16-09-2025,C,S-1881-CSD001,CAMPA,BD950MO,PE63407081,450,HELENA
2505363,CCM-6,16-09-2025,C,TAVBKOO1/IC,PLAIN,ACP5331H,PE94407025,450,HELENA
2505362,CCM-12,16-09-2025,B,A-1881-CSD006,PLAIN,ACP533H1,PE94407025,500,RAMESHWORY
2505361,CCM-17,16-09-2025,A,AB22CSD1,COCA COLA,MB5569,PE94407025,1700,HELENA
